step,train_loss,val_loss,perplexity
1,9.0491,9.0496,8515.05
20,6.6348,6.5446,695.49
40,6.4663,6.3953,599.02
60,6.3536,6.3144,552.49
80,6.2439,6.2081,496.75
100,6.1832,6.1269,458.04
120,6.1315,6.0391,419.52
140,6.0676,5.9956,401.65
160,6.0577,5.9855,397.63
180,6.0497,5.9535,385.10
200,6.0087,5.9177,371.57
220,6.0067,5.9630,388.78
240,6.0256,5.9079,367.94
260,5.9961,5.9116,369.31
280,6.0011,5.9034,366.30
300,5.9748,5.8783,357.22
320,5.9765,5.8927,362.39
340,5.9687,5.8814,358.32
360,5.9653,5.8827,358.79
380,5.9184,5.8593,350.47
400,5.9074,5.8296,340.21
420,5.9385,5.8207,337.19
440,5.9011,5.8111,333.98
460,5.8792,5.8195,336.80
480,5.8616,5.8027,331.18
500,5.8670,5.8139,334.92
520,5.8536,5.7974,329.45
540,5.8580,5.8023,331.06
560,5.8404,5.7720,321.17
580,5.8185,5.7532,315.20
600,5.8241,5.7666,319.45
620,5.8205,5.7404,311.18
640,5.8397,5.7488,313.83
660,5.8043,5.7346,309.38
680,5.7872,5.7330,308.89
700,5.7873,5.7163,303.78
720,5.7692,5.7110,302.19
740,5.7685,5.7116,302.36
760,5.7524,5.6685,289.59
780,5.7667,5.7193,304.69
800,5.7445,5.6736,291.07
820,5.7293,5.6813,293.32
840,5.7201,5.6666,289.05
860,5.7596,5.6602,287.19
880,5.6961,5.6594,286.99
900,5.6976,5.6213,276.24
920,5.7084,5.6678,289.41
940,5.6966,5.6360,280.35
960,5.7238,5.6420,282.02
980,5.6644,5.6254,277.38
1000,5.6590,5.6312,279.00
1020,5.6612,5.6064,272.18
1040,5.6631,5.6069,272.30
1060,5.6293,5.5789,264.79
1080,5.6074,5.5949,269.06
1100,5.6169,5.5706,262.60
1120,5.6053,5.5673,261.74
1140,5.5839,5.5835,265.99
1160,5.5893,5.5561,258.80
1180,5.5957,5.5502,257.29
1200,5.5757,5.5570,259.04
1220,5.5698,5.5321,252.69
1240,5.5420,5.5188,249.34
1260,5.5387,5.5465,256.33
1280,5.5308,5.5174,248.99
1300,5.5150,5.4855,241.17
1320,5.5146,5.4906,242.40
1340,5.5241,5.5060,246.15
1360,5.5097,5.4762,238.94
1380,5.4824,5.4540,233.69
1400,5.4811,5.4599,235.06
1420,5.4692,5.4631,235.84
1440,5.4305,5.4692,237.28
1460,5.4270,5.4606,235.24
1480,5.4632,5.4340,229.06
1500,5.4638,5.4221,226.34
1520,5.4055,5.4429,231.12
1540,5.4295,5.4165,225.08
1560,5.4024,5.4220,226.32
1580,5.3849,5.4171,225.22
1600,5.3745,5.4019,221.82
1620,5.4033,5.3883,218.83
1640,5.4080,5.3737,215.67
1660,5.3556,5.4028,222.04
1680,5.3743,5.3787,216.75
1700,5.3431,5.3937,220.02
1720,5.3579,5.3878,218.72
1740,5.3139,5.3637,213.52
1760,5.3509,5.3833,217.75
1780,5.3344,5.3465,209.87
1800,5.3300,5.3442,209.38
1820,5.3278,5.3427,209.07
1840,5.3352,5.3525,211.13
1860,5.2964,5.3483,210.26
1880,5.2880,5.3377,208.03
1900,5.2826,5.3051,201.35
1920,5.2830,5.3132,203.00
1940,5.2865,5.3182,204.02
1960,5.2773,5.3160,203.57
1980,5.2358,5.3134,203.05
2000,5.2509,5.2571,191.92
2020,5.2604,5.2914,198.63
2040,5.2750,5.2948,199.29
2060,5.2448,5.3192,204.23
2080,5.2276,5.2848,197.31
2100,5.2804,5.2757,195.52
2120,5.2336,5.2858,197.51
2140,5.2191,5.2710,194.61
2160,5.2098,5.2612,192.72
2180,5.1991,5.2667,193.77
2200,5.1986,5.2709,194.60
2220,5.1803,5.2429,189.21
2240,5.1537,5.2740,195.19
2260,5.1470,5.2552,191.56
2280,5.1833,5.2512,190.79
2300,5.1512,5.2268,186.20
2320,5.1596,5.2476,190.11
2340,5.1404,5.2398,188.63
2360,5.1490,5.2348,187.69
2380,5.1635,5.2198,184.89
2400,5.1333,5.2236,185.60
2420,5.1518,5.1963,180.61
2440,5.1309,5.2208,185.07
2460,5.1173,5.1783,177.37
2480,5.0949,5.1966,180.65
2500,5.0997,5.1812,177.90
2520,5.0840,5.1820,178.03
2540,5.0960,5.1818,177.99
2560,5.0818,5.2154,184.08
2580,5.0788,5.2000,181.27
2600,5.0671,5.1872,178.97
2620,5.0769,5.1500,172.43
2640,5.0553,5.1756,176.91
2660,5.0452,5.2000,181.26
2680,5.0386,5.1738,176.58
2700,5.0543,5.1628,174.66
2720,5.0512,5.1354,169.94
2740,5.0510,5.1251,168.18
2760,5.0228,5.1685,175.65
2780,5.0297,5.1709,176.06
2800,5.0342,5.1459,171.73
2820,5.0413,5.1392,170.59
2840,5.0012,5.1778,177.29
2860,5.0019,5.1612,174.37
2880,5.0031,5.1139,166.32
2900,4.9861,5.1325,169.44
2920,4.9699,5.1522,172.81
2940,4.9994,5.1505,172.52
2960,4.9464,5.1142,166.37
2980,4.9875,5.1109,165.82
3000,4.9602,5.1233,167.88
3020,4.9726,5.1318,169.33
3040,4.9832,5.1220,167.67
3060,4.9845,5.1026,164.44
3080,4.9727,5.0898,162.35
3100,4.9622,5.1031,164.53
3120,4.9586,5.1396,170.65
3140,4.9535,5.1085,165.43
